filename,width,height,class,xmin,ymin,xmax,ymax
18.0050864_-76.7496363_bench_16.jpg,800,600,18.0050864_-76.7496363_bench,207,109,428,262
18.0053530_-76.7490375_signatentrancetoscitech_10.jpg,800,600,18.0053530_-76.7490375_signatentrancetoscitech,39,190,313,386
18.0051836_-76.7497262_pclt1_23.jpg,800,600,18.0051836_-76.7497262_pclt1,245,82,529,370
18.0051836_-76.7497262_pclt1_5.jpg,800,600,18.0051836_-76.7497262_pclt1,218,5,634,441
18.0053530_-76.7490375_signatentrancetoscitech_7.jpg,800,600,18.0053530_-76.7490375_signatentrancetoscitech,189,160,548,243
18.0053657_-76.7491452_physicssign_8.jpg,800,600,18.0053657_-76.7491452_physicssign,37,81,758,209
18.0053644_-76.7493880_librarysign_10.jpg,800,600,18.0053644_-76.7493880_librarysign,167,16,662,111
18.0053657_-76.7491452_physicssign_3.jpg,800,600,18.0053657_-76.7491452_physicssign,86,9,751,186
18.0050609_-76.7496662_auntyjackie_27.jpg,800,600,18.0050609_-76.7496662_auntyjackie,9,3,553,357
18.0051667_-76.74944412_librarystall_3.jpg,800,600,18.0051667_-76.74944412_librarystall,207,184,701,527
18.0055634_-76.7484079_scitechsign_9.jpg,800,600,18.0055634_-76.7484079_scitechsign,212,3,669,495
18.0051667_-76.74944412_librarystall_20.jpg,800,600,18.0051667_-76.74944412_librarystall,139,208,751,541
18.0053245_-76.7486424_recyclebin_23.jpg,800,600,18.0053245_-76.7486424_recyclebin,394,122,566,325
18.0053530_-76.7490375_signatentrancetoscitech_4.jpg,800,600,18.0053530_-76.7490375_signatentrancetoscitech,10,44,469,273
18.0053657_-76.7491452_physicssign_4.jpg,800,600,18.0053657_-76.7491452_physicssign,289,184,609,230
18.0050864_-76.7496363_bench_13.jpg,800,600,18.0050864_-76.7496363_bench,1,1,574,438
18.0053657_-76.7491452_physicssign_7.jpg,800,600,18.0053657_-76.7491452_physicssign,216,187,597,255
18.0053245_-76.7486424_recyclebin_8.jpg,800,600,18.0053245_-76.7486424_recyclebin,388,136,686,490
18.0053530_-76.7490375_signatentrancetoscitech_13.jpg,800,600,18.0053530_-76.7490375_signatentrancetoscitech,120,381,394,576
18.0050609_-76.7496662_auntyjackie_18.jpg,800,600,18.0050609_-76.7496662_auntyjackie,1,5,510,335
18.0050864_-76.7496363_bench_14.jpg,800,600,18.0050864_-76.7496363_bench,289,133,732,305
18.0053657_-76.7491452_physicssign_2.jpg,800,600,18.0053657_-76.7491452_physicssign,264,186,580,238
18.0051667_-76.74944412_librarystall_10.jpg,800,600,18.0051667_-76.74944412_librarystall,155,230,640,511
18.0053245_-76.7486424_recyclebin_9.jpg,800,600,18.0053245_-76.7486424_recyclebin,1,157,270,579
18.0053530_-76.7490375_signatentrancetoscitech_19.jpg,800,600,18.0053530_-76.7490375_signatentrancetoscitech,1,128,531,308
18.0050864_-76.7496363_bench_21.jpg,800,600,18.0050864_-76.7496363_bench,23,22,597,501
18.0050609_-76.7496662_auntyjackie_8.jpg,800,600,18.0050609_-76.7496662_auntyjackie,1,25,785,432
18.0051667_-76.74944412_librarystall_1.jpg,800,600,18.0051667_-76.74944412_librarystall,1,27,718,540
18.0051836_-76.7497262_pclt1_20.jpg,800,600,18.0051836_-76.7497262_pclt1,336,163,413,303
18.0053644_-76.7493880_librarysign_6.jpg,800,600,18.0053644_-76.7493880_librarysign,134,124,636,203
18.0053657_-76.7491452_physicssign_18.jpg,800,600,18.0053657_-76.7491452_physicssign,132,84,642,270
18.0051667_-76.74944412_librarystall_4.jpg,800,600,18.0051667_-76.74944412_librarystall,105,209,602,528
18.0050609_-76.7496662_auntyjackie_21.jpg,800,600,18.0050609_-76.7496662_auntyjackie,305,1,732,295
18.0050864_-76.7496363_bench_2.jpg,800,600,18.0050864_-76.7496363_bench,413,127,678,281
18.0051836_-76.7497262_pclt1_18.jpg,800,600,18.0051836_-76.7497262_pclt1,464,82,621,292
18.0053245_-76.7486424_recyclebin_1.jpg,800,600,18.0053245_-76.7486424_recyclebin,434,160,553,314
18.0051836_-76.7497262_pclt1_7.jpg,800,600,18.0051836_-76.7497262_pclt1,307,154,391,301
18.0050864_-76.7496363_bench_18.jpg,800,600,18.0050864_-76.7496363_bench,194,151,677,446
18.0055634_-76.7484079_scitechsign_18.jpg,800,600,18.0055634_-76.7484079_scitechsign,299,3,778,560
18.0050609_-76.7496662_auntyjackie_29.jpg,800,600,18.0050609_-76.7496662_auntyjackie,243,30,694,297
18.0051667_-76.74944412_librarystall_18.jpg,800,600,18.0051667_-76.74944412_librarystall,131,70,793,467
18.0053657_-76.7491452_physicssign_6.jpg,800,600,18.0053657_-76.7491452_physicssign,148,179,567,276
18.0050609_-76.7496662_auntyjackie_13.jpg,800,600,18.0050609_-76.7496662_auntyjackie,1,5,597,374
18.0053657_-76.7491452_physicssign_17.jpg,800,600,18.0053657_-76.7491452_physicssign,121,74,728,270
18.0050864_-76.7496363_bench_5.jpg,800,600,18.0050864_-76.7496363_bench,210,108,499,295
18.0055634_-76.7484079_scitechsign_20.jpg,800,600,18.0055634_-76.7484079_scitechsign,239,95,478,368
18.0051836_-76.7497262_pclt1_8.jpg,800,600,18.0051836_-76.7497262_pclt1,277,5,783,541
18.0053644_-76.7493880_librarysign_15.jpg,800,600,18.0053644_-76.7493880_librarysign,237,122,553,206
18.0053530_-76.7490375_signatentrancetoscitech_18.jpg,800,600,18.0053530_-76.7490375_signatentrancetoscitech,180,195,478,325
18.0053657_-76.7491452_physicssign_14.jpg,800,600,18.0053657_-76.7491452_physicssign,243,186,597,255
18.0053644_-76.7493880_librarysign_20.jpg,800,600,18.0053644_-76.7493880_librarysign,394,125,707,216
18.0053245_-76.7486424_recyclebin_16.jpg,800,600,18.0053245_-76.7486424_recyclebin,485,141,610,332
18.0051836_-76.7497262_pclt1_10.jpg,800,600,18.0051836_-76.7497262_pclt1,294,9,729,468
18.0050864_-76.7496363_bench_17.jpg,800,600,18.0050864_-76.7496363_bench,126,105,601,305
18.0053245_-76.7486424_recyclebin_5.jpg,800,600,18.0053245_-76.7486424_recyclebin,528,154,689,352
18.0051836_-76.7497262_pclt1_14.jpg,800,600,18.0051836_-76.7497262_pclt1,467,109,609,298
18.0051836_-76.7497262_pclt1_9.jpg,800,600,18.0051836_-76.7497262_pclt1,189,63,612,468
